epoch,acc,loss,val_acc,val_loss
0,0.678969673461,0.625048852795,0.677200579516,0.622972188598
1,0.679156947311,0.622500107613,0.676750852112,0.622001959938
2,0.679290833981,0.621679604473,0.677792721031,0.630521437475
3,0.679349178372,0.616490130402,0.677111049087,0.608877351349
4,0.680416286412,0.604488655132,0.677661791506,0.602012555118
5,0.684016687956,0.593618112029,0.681456805563,0.595839422578
6,0.689320960562,0.579611140276,0.68212094879,0.594370462892
7,0.701662779654,0.560410285877,0.678491012462,0.60552807091
8,0.723528082323,0.529438609482,0.67449753515,0.625563778764
9,0.750568864097,0.493704153056,0.659709435588,0.665606758441
10,0.778105153317,0.452677465418,0.652063291808,0.714834266173
